name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Klebsiella aerogenes	548	species	5435727	20	5	0.0
Pantoea agglomerans	549	species	9924054	18	5	0.0
Enterobacter cloacae	550	species	5160721	51	12	0.0
Erwinia	551	genus	4250482	2	0	0.0
Erwinia amylovora	552	species	3869718	1	0	0.0
Pantoea ananatis	553	species	4838981	11	0	0.0
Pectobacterium carotovorum	554	species	6131477	3	0	0.0
Escherichia coli	562	species	7155203	172	40	0.0
Hafnia alvei	569	species	4712721	17	10	0.0
Klebsiella	570	genus	7968846	7	0	0.0
Klebsiella oxytoca	571	species	6684898	120	7	0.0
Klebsiella pneumoniae	573	species	8336208	222	72	0.0
Morganella morganii	582	species	3799539	7	0	0.0
Proteus	583	genus	3973324	1	0	0.0
Proteus mirabilis	584	species	3973324	42	6	0.0
Proteus vulgaris	585	species	3794983	18	0	0.0
Providencia	586	genus	4402109	2	0	0.0
Providencia rettgeri	587	species	4889093	16	11	0.0
Providencia stuartii	588	species	4402109	47	10	0.0
Salmonella enterica subsp. enterica serovar Infantis	595	leaf	24898721	4	0	0.0
Salmonella enterica subsp. enterica serovar Thompson	600	leaf	14120769	4	0	0.0
Salmonella enterica subsp. enterica serovar Heidelberg	611	leaf	97441747	1	1	0.0
Serratia	613	genus	4999631	12	0	0.0
Serratia liquefaciens	614	species	5282719	20	4	0.0
Serratia marcescens	615	species	5133167	78	12	0.0
Shigella	620	genus	4794388	1	0	0.0
Shigella boydii	621	species	4760589	5	0	0.0
Shigella flexneri	623	species	4787214	7	1	0.0
Shigella sonnei	624	species	5137894	9	0	0.0
Yersinia	629	genus	5890257	3	0	0.0
Yersinia enterocolitica	630	species	4754304	33	12	0.0
Yersinia intermedia	631	species	4859749	6	4	0.0
Yersinia pestis	632	species	5868073	123	14	0.0
Yersinia pseudotuberculosis	633	species	7671089	19	1	0.0
Edwardsiella	635	genus	3906392	2	0	0.0
Edwardsiella tarda	636	species	3766483	10	4	0.0
Aeromonas	642	genus	4891101	2	0	0.0
Aeromonas hydrophila	644	species	4927671	46	6	0.0
Aeromonas schubertii	652	species	4400034	7	5	0.0
Aeromonas veronii	654	species	4551783	38	6	0.0
Vibrio	662	genus	5226443	5	0	0.0
Vibrio alginolyticus	663	species	5146637	8	1	0.0
Vibrio cholerae	666	species	4424841	13	8	0.0
Aliivibrio fischeri	668	species	4273718	1	0	0.0
Vibrio harveyi	669	species	17991217	32	14	0.0
Vibrio parahaemolyticus	670	species	5172800	45	10	0.0
Vibrio vulnificus	672	species	5131516	35	5	0.0
Grimontia hollisae	673	species	3998273	9	7	0.0
Vibrio mimicus	674	species	8922704	14	7	0.0
Vibrio fluvialis	676	species	9679388	14	5	0.0
Vibrio campbellii	680	species	12090206	11	5	0.0
Vibrio natriegens	691	species	10343839	29	6	0.0
Plesiomonas shigelloides	703	species	3405979	5	5	0.0
Pasteurellaceae	712	family	2335045	3	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2648839	20	3	0.0
Haemophilus influenzae	727	species	1900712	25	8	0.0
[Haemophilus] ducreyi	730	species	1698955	59	8	0.0
Aggregatibacter aphrophilus	732	species	4626291	7	3	0.0
[Haemophilus] parasuis	738	species	2296948	40	6	0.0
Pasteurella	745	genus	2337619	1	0	0.0
Pasteurella multocida	747	species	2337619	14	5	0.0
Bartonella bacilliformis	774	species	1445021	3	0	0.0
Coxiella burnetii	777	species	2066931	11	3	0.0
Rickettsia	780	genus	1249850	14	9	0.0
Rickettsia prowazekii	782	species	1111192	3	0	0.0
Rickettsia australis	787	species	1323280	1	0	0.0
Chlamydia trachomatis	813	species	1068120	2	2	0.0
Bacteroidaceae	815	family	5275069	2	0	0.0
Bacteroides	816	genus	5275069	19	4	0.0
Bacteroides fragilis	817	species	5308603	387	185	1.19604e-15
Bacteroides thetaiotaomicron	818	species	6293399	450	257	0.172642
Parabacteroides distasonis	823	species	4811379	4	0	0.0
Campylobacter gracilis	824	species	2281652	5	5	0.0
Campylobacter ureolyticus	827	species	1641887	1	0	0.0
Fibrobacter succinogenes	833	species	7685639	1	0	0.0
Porphyromonas gingivalis	837	species	2339774	67	20	0.0
Prevotella	838	genus	3023914	4	1	0.0
Prevotella ruminicola	839	species	3619559	1	0	0.0
Fusobacterium nucleatum	851	species	2791628	12	1	0.0
Desulfovibrio	872	genus	3918779	6	0	0.0
Desulfovibrio vulgaris	881	species	3802302	2	0	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	30	4	0.0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	64	40	0.0
Desulfobulbus propionicus	894	species	3851869	1	0	0.0
Desulfococcus multivorans	897	species	8911375	38	0	0.0
Desulfovibrio piger	901	species	2807531	106	91	0.0
Nitrobacter hamburgensis	912	species	5011522	1	0	0.0
Acidithiobacillus ferrooxidans	920	species	2933717	1	0	0.0
Thiomonas intermedia	926	species	3462095	9	5	0.0
Ehrlichia chaffeensis	945	species	1174554	3	1	0.0
Bdellovibrio bacteriovorus	959	species	3592845	4	0	0.0
Herbaspirillum	963	genus	5363540	1	0	0.0
Herbaspirillum seropedicae	964	species	5513887	36	3	0.0
Bacteroidetes	976	phylum	3555791	1	0	0.0
Cytophaga	978	genus	4433218	1	0	0.0
Cellulophaga lytica	979	species	3765936	43	6	0.0
Pedobacter heparinus	984	species	5167383	1	0	0.0
Flavobacterium johnsoniae	986	species	6096872	36	23	0.0
Flavobacterium columnare	996	species	3162432	138	54	0.0
Chromatiaceae	1046	family	3949062	1	0	0.0
Ectothiorhodospira	1051	genus	0	1	0	0.0
Rhodobacter sphaeroides	1063	species	4585882	34	0	0.0
Rhodomicrobium	1068	genus	4014469	1	0	0.0
Rhodopseudomonas palustris	1076	species	5408501	4	0	0.0
Blastochloris viridis	1079	species	11174693	38	5	0.0
Chlorobium limicola	1092	species	2763181	1	0	0.0
Porphyrobacter neustonensis	1112	species	3090363	7	2	0.0
Cyanobacteria	1117	phylum	4372850	2	0	0.0
Synechococcus	1129	genus	2719262	1	0	0.0
Synechococcus elongatus PCC 7942	1140	leaf	2742269	3	2	0.0
Synechocystis sp. PCC 6714	1147	species	3738889	5	3	0.0
Synechocystis sp. PCC 6803	1148	species	3570073	7	3	0.0
Trichormus azollae	1164	species	5486145	1	0	0.0
Anabaena cylindrica	1165	species	7063285	1	0	0.0
Nostoc	1177	genus	9059191	2	0	0.0
Calothrix	1186	genus	6960392	1	0	0.0
Prochlorococcus marinus	1219	species	1879471	3	0	0.0
Proteobacteria	1224	phylum	4771018	13	0	0.0
Gammaproteobacteria	1236	class	5441807	23	0	0.0
Piscirickettsia salmonis	1238	species	3450064	97	33	0.0
Firmicutes	1239	phylum	3549710	1	0	0.0
Leuconostoc	1243	genus	2139487	2	1	0.0
Leuconostoc mesenteroides	1245	species	2333944	6	5	0.0
Leuconostoc lactis	1246	species	1788069	7	5	0.0
Pediococcus acidilactici	1254	species	4301984	9	1	0.0
Pediococcus pentosaceus	1255	species	1810762	13	8	0.0
Micrococcaceae	1268	family	3531727	1	0	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	5	4	0.0
Kytococcus sedentarius	1276	species	2785024	1	0	0.0
Staphylococcus	1279	genus	4376239	1	0	0.0
Staphylococcus aureus	1280	species	4891244	106	47	0.0
Staphylococcus carnosus	1281	species	2566424	16	7	0.0
Staphylococcus epidermidis	1282	species	2601987	57	23	0.0
Staphylococcus haemolyticus	1283	species	2697861	36	17	0.0
Staphylococcus hyicus	1284	species	2472129	19	16	0.0
Staphylococcus simulans	1286	species	2647552	16	11	0.0
Staphylococcus xylosus	1288	species	8411206	77	21	0.0
Staphylococcus schleiferi	1295	species	12494798	41	4	0.0
Staphylococcus sciuri	1296	species	2673451	22	13	0.0
Deinococcus	1298	genus	4148054	3	0	0.0
Deinococcus radiodurans	1299	species	6628921	1	0	0.0
Streptococcaceae	1300	family	2122957	2	0	0.0
Streptococcus	1301	genus	2063424	3	2	0.0
Streptococcus gordonii	1302	species	2196662	29	5	0.0
Streptococcus oralis	1303	species	1958690	6	3	0.0
Streptococcus salivarius	1304	species	2202440	27	4	0.0
Streptococcus suis	1307	species	2105536	36	12	0.0
Streptococcus thermophilus	1308	species	1844731	35	3	0.0
Streptococcus mutans	1309	species	2024183	14	1	0.0
Streptococcus agalactiae	1311	species	2036565	79	16	0.0
Streptococcus pneumoniae	1313	species	2114821	20	5	0.0
Streptococcus pyogenes	1314	species	1934284	63	33	0.0
Streptococcus sp. 'group B'	1319	species	2178064	13	0	0.0
Streptococcus anginosus	1328	species	2089210	17	6	0.0
Streptococcus dysgalactiae	1334	species	2134563	6	0	0.0
Streptococcus equinus	1335	species	2311351	7	0	0.0
Streptococcus intermedius	1338	species	1963517	18	2	0.0
Streptococcus iniae	1346	species	2149844	29	0	0.0
Enterococcus faecalis	1351	species	3016110	32	13	0.0
Enterococcus faecium	1352	species	2979896	97	19	0.0
Enterococcus gallinarum	1353	species	3821349	5	2	0.0
Enterococcus hirae	1354	species	2856440	18	11	0.0
Lactococcus lactis	1358	species	2728319	17	10	0.0
Lactococcus lactis subsp. lactis	1360	subspecies	5219324	9	3	0.0
Planococcus	1372	genus	3804624	1	0	0.0
Planococcus kocurii	1374	species	3485580	7	4	0.0
Aerococcus urinae	1376	species	2080974	4	3	0.0
Aerococcus viridans	1377	species	2199877	7	5	0.0
Bacillales	1385	order	4709187	8	0	0.0
Bacillus	1386	genus	5427446	32	8	0.0
Bacillus amyloliquefaciens	1390	species	3989737	45	3	0.0
Bacillus anthracis	1392	species	5891621	49	4	0.0
Bacillus cereus	1396	species	6217228	245	33	0.0
Bacillus coagulans	1398	species	3330766	46	4	0.0
Bacillus licheniformis	1402	species	8445242	25	11	0.0
Bacillus megaterium	1404	species	5334474	21	5	0.0
Bacillus mycoides	1405	species	11312355	58	32	0.0
Paenibacillus polymyxa	1406	species	5942566	46	14	0.0
Bacillus pumilus	1408	species	3704641	58	20	0.0
Bacillus sp.	1409	species	4233615	7	0	0.0
Lysinibacillus sphaericus	1421	species	4817463	72	19	0.0
Bacillus subtilis	1423	species	5400405	122	2	0.0
Parageobacillus thermoglucosidans	1426	species	3993793	55	0	0.0
Bacillus thuringiensis	1428	species	6822475	254	51	0.0
Bacillus thuringiensis serovar alesti	1440	leaf	5818118	6	1	0.0
Bacillus thuringiensis serovar morrisoni	1441	leaf	6179896	8	1	0.0
Bacillus thuringiensis serovar tolworthi	1442	leaf	6870591	16	3	0.0
Bacillus atrophaeus	1452	species	4168266	16	0	0.0
Sporosarcina psychrophila	1476	species	4674191	19	11	0.0
Paenibacillus larvae subsp. pulvifaciens	1477	subspecies	8964909	17	2	0.0
Bacillus simplex	1478	species	5521719	32	17	0.0
Bacillus smithii	1479	species	3381292	11	9	0.0
Virgibacillus halodenitrificans	1482	species	3917759	29	16	0.0
Clostridium	1485	genus	4594375	2	0	0.0
Clostridium acetobutylicum	1488	species	4136895	3	0	0.0
Clostridium botulinum	1491	species	4185437	288	79	0.0
Clostridium butyricum	1492	species	22946883	345	29	0.0
Clostridioides difficile	1496	species	4744422	210	52	0.0
Clostridium formicaceticum	1497	species	4586755	27	19	0.0
Clostridium pasteurianum	1501	species	9050473	35	0	0.0
Clostridium perfringens	1502	species	3100837	131	43	0.0
Clostridium sporogenes	1509	species	8284974	150	0	0.0
[Clostridium] stercorarium	1510	species	4042789	3	0	0.0
Acetoanaerobium sticklandii	1511	species	2715461	31	18	0.0
Ruminiclostridium thermocellum	1515	species	3634338	1	0	0.0
Clostridium tyrobutyricum	1519	species	6208479	65	0	0.0
Clostridium beijerinckii	1520	species	6062187	137	26	0.0
Moorella thermoacetica	1525	species	2628784	34	1	0.0
Clostridium kluyveri	1534	species	3989551	61	34	0.0
Clostridium scatologenes	1548	species	5749410	70	49	0.0
Clostridium estertheticum subsp. estertheticum	1552	subspecies	4785613	64	42	0.0
Clostridium baratii	1561	species	3338630	63	42	0.0
Leifsonia xyli	1575	species	2635288	14	9	0.0
Lactobacillus	1578	genus	2558400	2	0	0.0
Lactobacillus acidophilus	1579	species	1992569	10	0	0.0
Lactobacillus brevis	1580	species	2464052	2	1	0.0
Lactobacillus casei	1582	species	3039836	7	0	0.0
Lactobacillus delbrueckii	1584	species	2539646	9	7	0.0
Lactobacillus delbrueckii subsp. bulgaricus	1585	subspecies	5605005	9	2	0.0
Lactobacillus helveticus	1587	species	2095920	29	4	0.0
Lactobacillus plantarum	1590	species	3300682	35	15	0.0
Lactobacillus paracasei	1597	species	3007940	13	0	0.0
Lactobacillus reuteri	1598	species	2118918	16	5	0.0
Lactobacillus acetotolerans	1600	species	1704859	8	6	0.0
Lactobacillus amylovorus	1604	species	1977087	9	2	0.0
Lactobacillus fermentum	1613	species	2148561	8	0	0.0
Lactobacillus salivarius	1624	species	2082826	57	28	0.0
Lactobacillus oris	1632	species	3235996	7	3	0.0
Listeria	1637	genus	3088454	1	0	0.0
Listeria ivanovii	1638	species	3701623	4	0	0.0
Listeria monocytogenes	1639	species	3038659	97	45	0.0
Erysipelothrix rhusiopathiae	1648	species	1770425	18	1	0.0
Kurthia	1649	genus	0	1	0	0.0
Corynebacteriaceae	1653	family	2718289	1	0	0.0
Actinomyces	1654	genus	0	1	0	0.0
Trueperella pyogenes	1661	species	2272494	11	4	0.0
Bifidobacterium	1678	genus	2353730	6	0	0.0
Bifidobacterium longum subsp. longum	1679	subspecies	7220280	4	0	0.0
Bifidobacterium adolescentis	1680	species	2089645	20	0	0.0
Bifidobacterium bifidum	1681	species	2209060	7	0	0.0
Bifidobacterium longum subsp. infantis	1682	subspecies	2578115	3	1	0.0
Bifidobacterium angulatum	1683	species	2021974	6	1	0.0
Bifidobacterium asteroides	1684	species	2167304	2	0	0.0
Bifidobacterium breve	1685	species	2317134	15	5	0.0
Bifidobacterium coryneforme	1687	species	1755151	7	2	0.0
Brevibacterium	1696	genus	0	1	0	0.0
Corynebacterium ammoniagenes	1697	species	2790185	3	0	0.0
Brevibacterium linens	1703	species	8072179	13	11	0.0
Corynebacterium stationis	1705	species	8587058	11	1	0.0
Corynebacterium	1716	genus	2718289	4	1	0.0
Corynebacterium diphtheriae	1717	species	2469401	3	0	0.0
Corynebacterium glutamicum	1718	species	3768251	6	1	0.0
Corynebacterium pseudotuberculosis	1719	species	2333432	8	2	0.0
Peptoclostridium acidaminophilum	1731	species	3055036	2	0	0.0
Eubacterium limosum	1736	species	4316707	64	52	0.0
Propionibacterium freudenreichii	1744	species	2646865	1	0	0.0
Cutibacterium acnes	1747	species	2515790	7	5	0.0
Acidipropionibacterium acidipropionici	1748	species	3656170	50	5	0.0
Propionibacterium freudenreichii subsp. shermanii	1752	subspecies	2675045	7	3	0.0
Thermoanaerobacter	1754	genus	2449969	3	0	0.0
Actinobacteria	1760	class	4582488	19	1	0.0
Mycobacterium	1763	genus	5871459	8	1	0.0
Mycobacterium avium	1764	species	6186937	15	5	0.0
Mycobacterium bovis	1765	species	5999573	2	0	0.0
Mycobacterium fortuitum	1766	species	6254616	4	0	0.0
Mycobacterium intracellulare	1767	species	5374059	3	0	0.0
Mycobacterium avium subsp. paratuberculosis	1770	subspecies	14396848	11	0	0.0
Mycobacterium phlei	1771	species	5349645	11	6	0.0
Mycobacterium smegmatis	1772	species	20964686	15	8	0.0
Mycobacterium tuberculosis	1773	species	5191731	7	1	0.0
Mycobacterium microti	1806	species	4370115	2	0	0.0
Amycolatopsis	1813	genus	11029069	1	0	0.0
Amycolatopsis methanolica	1814	species	7237391	2	0	0.0
Nocardia	1817	genus	7567967	1	0	0.0
Rhodococcus	1827	genus	7101773	1	0	0.0
Rhodococcus erythropolis	1833	species	6691155	4	0	0.0
Saccharopolyspora erythraea	1836	species	8212805	3	0	0.0
Pseudonocardia	1847	genus	7303989	2	0	0.0
Saccharomonospora viridis	1852	species	4308349	2	0	0.0
Frankia	1854	genus	7497934	2	0	0.0
Frankia alni	1859	species	7497934	1	0	0.0
Streptomyces	1883	genus	9489906	23	4	0.0
Streptomyces albus	1888	species	6841649	51	0	0.0
Streptomyces ambofaciens	1889	species	8393598	14	2	0.0
Streptomyces clavuligerus	1901	species	7590758	10	5	0.0
Streptomyces glaucescens	1907	species	7623774	12	6	0.0
Streptomyces hygroscopicus	1912	species	10333189	25	6	0.0
Streptomyces lincolnensis	1915	species	10319054	12	8	0.0
Streptomyces reticuli	1926	species	9336224	22	13	0.0
Streptosporangiaceae	2004	family	10369518	1	0	0.0
Thermobispora bispora	2006	species	4189976	1	0	0.0
Nocardiopsis dassonvillei	2014	species	6543312	8	0	0.0
Curtobacterium	2034	genus	0	1	0	0.0
Tropheryma whipplei	2039	species	926620	1	0	0.0
Aeromicrobium erythreum	2041	species	3629239	11	8	0.0
Pimelobacter simplex	2045	species	5637360	15	8	0.0
Actinomycetaceae	2049	family	2135042	1	0	0.0
Gordonia terrae	2055	species	5701501	7	6	0.0
Streptomycetaceae	2062	family	9456257	8	0	0.0
Kitasatospora	2063	genus	8783278	1	0	0.0
Kitasatospora setae	2066	species	8783278	1	0	0.0
Pseudonocardiaceae	2070	family	9456940	6	0	0.0
Mycoplasmataceae	2092	family	1006095	1	0	0.0
Mycoplasma	2093	genus	1020345	1	0	0.0
Mycoplasma arginini	2094	species	678592	19	16	0.0
Mycoplasma capricolum	2095	species	1777990	22	8	0.0
Mycoplasma gallisepticum	2096	species	969960	10	7	0.0
Mycoplasma hominis	2098	species	690305	22	6	0.0
Mycoplasma hyopneumoniae	2099	species	909234	8	5	0.0
Mycoplasma hyorhinis	2100	species	836229	13	1	0.0
Mycoplasma mycoides	2102	species	2476665	17	6	0.0
Mycoplasma mycoides subsp. mycoides	2103	subspecies	8039092	16	4	0.0
Mycoplasma pneumoniae	2104	species	866945	2	2	0.0
Mycoplasma agalactiae	2110	species	877438	14	4	0.0
Mycoplasma californicum	2113	species	799088	6	5	0.0
Spiroplasmataceae	2131	family	1281839	1	0	0.0
Spiroplasma	2132	genus	1281839	2	0	0.0
Spiroplasma citri	2133	species	1640878	24	11	0.0
Spiroplasma mirum	2144	species	2265199	1	0	0.0
Acholeplasma laidlawii	2148	species	1496992	1	0	0.0
Mesoplasma florum	2151	species	809524	1	0	0.0
Methanobacterium formicicum	2162	species	7422571	41	10	0.0
Methanohalophilus halophilus	2177	species	2022959	6	3	0.0
Methanosarcina	2207	genus	4416987	1	0	0.0
Methanosarcina barkeri	2208	species	4650840	1	0	0.0
Methanosarcina mazei	2209	species	4021532	5	1	0.0
Methanosarcina thermophila	2210	species	3128803	1	0	0.0
Sulfolobus acidocaldarius	2285	species	2172056	1	0	0.0
Sulfolobus solfataricus	2287	species	2830609	18	10	0.0
Thermoanaerobacter kivui	2325	species	2397824	15	7	0.0
Thermotoga maritima	2336	species	7469591	22	0	0.0
Candidatus Sodalis pierantonius str. SOPE	2342	leaf	4513140	13	6	0.0
Xylella fastidiosa	2371	species	2609554	2	1	0.0
Thermosipho	2420	genus	1965947	1	0	0.0
Fervidobacterium islandicum	2423	species	2237377	7	3	0.0
Fervidobacterium nodosum	2424	species	1948941	1	0	0.0
Gardnerella vaginalis	2702	species	1669705	7	2	0.0
Symbiobacterium thermophilum	2734	species	3566135	1	0	0.0
Marinobacter	2742	genus	4473655	3	0	0.0
Marinobacter hydrocarbonoclasticus	2743	species	4384621	1	0	0.0
Halomonas	2745	genus	4061296	2	0	0.0
Halomonas elongata	2746	species	4061296	1	0	0.0
Eukaryota	2759	superkingdom	0	1	0	0.0
Ascomycota	4890	phylum	24221269	10	0	0.0
Saccharomycetes	4891	class	12670544	5	0	0.0
Saccharomycetales	4892	order	12670544	3	0	0.0
Saccharomycetaceae	4893	family	10328564	2	0	0.0
Kluyveromyces	4910	genus	10966467	1	0	0.0
Kluyveromyces marxianus	4911	species	10966467	465	108	0.0
Saccharomyces cerevisiae	4932	species	12071326	127	5	0.0
Saccharomycopsis	4943	genus	0	2	0	0.0
Saccharomycopsis fibuligera	4944	species	19567216	371	180	0.0
Yarrowia	4951	genus	20090583	1	0	0.0
Yarrowia lipolytica	4952	species	20090583	128	1	0.0
Helotiales	5178	order	42630066	2	0	0.0
Ustilaginomycetes	5257	class	0	2	0	0.0
Ustilaginales	5267	order	0	2	0	0.0
Rodentia	9989	order	0	1	0	0.0
Acidovorax	12916	genus	4877171	1	0	0.0
Azoarcus	12960	genus	0	1	0	0.0
Dactylococcopsis salina PCC 8305	13035	leaf	3781008	13	8	0.0
Burkholderia mallei	13373	species	7121566	18	0	0.0
Sphingomonas	13687	genus	5564099	2	0	0.0
Verticillium dahliae	27337	species	36062078	2	1	0.0
Bifidobacterium animalis	28025	species	1931770	8	6	0.0
Corynebacterium flavescens	28028	species	2758653	1	0	0.0
Lysinibacillus fusiformis	28031	species	4843789	22	9	0.0
Staphylococcus lugdunensis	28035	species	2627127	59	11	0.0
Streptococcus mitis	28037	species	2146611	20	11	0.0
Lactobacillus curvatus	28038	species	5775917	12	5	0.0
Acidothermus cellulolyticus	28049	species	2443540	1	0	0.0
Micromonosporaceae	28056	family	7146176	3	0	0.0
Nostoc sp. PCC 7524	28072	species	6718869	18	9	0.0
Neisseria weaveri	28091	species	2188497	7	5	0.0
Burkholderia gladioli	28095	species	9052299	17	6	0.0
Sinorhizobium	28105	genus	6953179	2	0	0.0
Alteromonas macleodii	28108	species	4602757	11	2	0.0
Francisella philomiragia	28110	species	2033555	45	11	0.0
Tannerella forsythia	28112	species	3383154	5	0	0.0
Bacteroides ovatus	28116	species	6475296	620	5	0.0
Odoribacter splanchnicus	28118	species	4392288	2	0	0.0
Prevotella intermedia	28131	species	2686803	208	26	0.0
Cronobacter sakazakii	28141	species	4439412	11	2	0.0
Salmonella enterica subsp. enterica serovar Senftenberg	28150	leaf	10025118	7	0	0.0
Serratia proteamaculans	28151	species	5495657	1	0	0.0
Yersinia kristensenii	28152	species	4496569	6	2	0.0
