name	taxID	taxRank	genomeSize	numReads	numUniqueReads	abundance
Enterobacter	547	genus	6476723	1	0	0.0
Klebsiella aerogenes	548	species	5435727	5	0	0.0
Pantoea agglomerans	549	species	9924054	1	1	0.0
Enterobacter cloacae	550	species	5160721	4	0	0.0
Pectobacterium carotovorum	554	species	6131477	1	0	0.0
Escherichia coli	562	species	7155203	20	2	0.0
Hafnia alvei	569	species	4712721	3	3	0.0
Klebsiella oxytoca	571	species	6684898	21	3	0.0
Klebsiella pneumoniae	573	species	8336208	31	6	0.0
Proteus mirabilis	584	species	3973324	7	1	0.0
Proteus vulgaris	585	species	3794983	2	0	0.0
Providencia rettgeri	587	species	4889093	3	2	0.0
Providencia stuartii	588	species	4402109	1	0	0.0
Serratia	613	genus	4999631	1	0	0.0
Serratia liquefaciens	614	species	5282719	2	0	0.0
Serratia marcescens	615	species	5133167	9	0	0.0
Shigella boydii	621	species	4760589	1	0	0.0
Shigella sonnei	624	species	5137894	3	1	0.0
Yersinia enterocolitica	630	species	4754304	2	1	0.0
Yersinia pestis	632	species	5868073	20	3	0.0
Yersinia pseudotuberculosis	633	species	7671089	2	0	0.0
Edwardsiella	635	genus	3906392	1	0	0.0
Aeromonas hydrophila	644	species	4927671	4	1	0.0
Aeromonas schubertii	652	species	4400034	2	0	0.0
Aeromonas veronii	654	species	4551783	2	1	0.0
Vibrio alginolyticus	663	species	5146637	1	0	0.0
Vibrio cholerae	666	species	4424841	4	2	0.0
Vibrio harveyi	669	species	17991217	2	0	0.0
Vibrio parahaemolyticus	670	species	5172800	1	1	0.0
Vibrio vulnificus	672	species	5131516	2	0	0.0
Grimontia hollisae	673	species	3998273	1	1	0.0
Vibrio mimicus	674	species	8922704	3	1	0.0
Vibrio fluvialis	676	species	9679388	3	1	0.0
Vibrio campbellii	680	species	12090206	1	0	0.0
Vibrio natriegens	691	species	10343839	6	1	0.0
Plesiomonas shigelloides	703	species	3405979	2	2	0.0
Pasteurellaceae	712	family	2335045	1	0	0.0
Aggregatibacter actinomycetemcomitans	714	species	2648839	6	0	0.0
Haemophilus influenzae	727	species	1900712	1	1	0.0
[Haemophilus] ducreyi	730	species	1698955	6	0	0.0
Aggregatibacter aphrophilus	732	species	4626291	1	1	0.0
[Haemophilus] parasuis	738	species	2296948	4	2	0.0
Pasteurella multocida	747	species	2337619	3	1	0.0
Bartonella bacilliformis	774	species	1445021	1	0	0.0
Coxiella burnetii	777	species	2066931	1	0	0.0
Rickettsia	780	genus	1249850	1	1	0.0
Bacteroidaceae	815	family	5275069	1	0	0.0
Bacteroides	816	genus	5275069	48	5	0.0
Bacteroides fragilis	817	species	5308603	701	446	0.224044
Bacteroides thetaiotaomicron	818	species	6293399	1477	795	0.120925
Bacteroides vulgatus	821	species	5163189	3	0	0.0
Parabacteroides distasonis	823	species	4811379	2	0	0.0
Campylobacter gracilis	824	species	2281652	1	1	0.0
Porphyromonas	836	genus	2317859	1	0	0.0
Porphyromonas gingivalis	837	species	2339774	26	7	0.0
Prevotella	838	genus	3023914	7	1	0.0
Desulfovibrio vulgaris str. Hildenborough	882	leaf	3773159	8	0	0.0
Desulfovibrio vulgaris str. 'Miyazaki F'	883	leaf	4040304	8	6	0.0
Desulfococcus multivorans	897	species	8911375	8	0	0.0
Desulfovibrio piger	901	species	2807531	22	18	0.0
Thiomonas intermedia	926	species	3462095	1	1	0.0
Bdellovibrio bacteriovorus	959	species	3592845	1	0	0.0
Herbaspirillum seropedicae	964	species	5513887	3	1	0.0
Cellulophaga lytica	979	species	3765936	6	1	0.0
Flavobacterium johnsoniae	986	species	6096872	6	5	0.0
Flavobacterium columnare	996	species	3162432	10	3	0.0
Rhodopseudomonas palustris	1076	species	5408501	1	0	0.0
Blastochloris viridis	1079	species	11174693	2	0	0.0
Proteobacteria	1224	phylum	4771018	2	0	0.0
Gammaproteobacteria	1236	class	5441807	1	0	0.0
Piscirickettsia salmonis	1238	species	3450064	4	3	0.0
Leuconostoc mesenteroides	1245	species	2333944	1	1	0.0
Pediococcus acidilactici	1254	species	4301984	5	1	0.0
Pediococcus pentosaceus	1255	species	1810762	1	0	0.0
Micrococcaceae	1268	family	3531727	1	0	0.0
Dermacoccus nishinomiyaensis	1274	species	3113642	1	1	0.0
Staphylococcus aureus	1280	species	4891244	14	10	0.0
Staphylococcus carnosus	1281	species	2566424	2	1	0.0
Staphylococcus epidermidis	1282	species	2601987	4	1	0.0
Staphylococcus haemolyticus	1283	species	2697861	2	0	0.0
Staphylococcus hyicus	1284	species	2472129	2	1	0.0
Staphylococcus simulans	1286	species	2647552	1	0	0.0
Staphylococcus schleiferi	1295	species	12494798	1	0	0.0
Staphylococcus sciuri	1296	species	2673451	2	1	0.0
Streptococcus gordonii	1302	species	2196662	2	1	0.0
Streptococcus oralis	1303	species	1958690	1	0	0.0
Streptococcus salivarius	1304	species	2202440	3	0	0.0
Streptococcus suis	1307	species	2105536	3	2	0.0
Streptococcus thermophilus	1308	species	1844731	5	3	0.0
Streptococcus mutans	1309	species	2024183	2	0	0.0
Streptococcus agalactiae	1311	species	2036565	6	1	0.0
Streptococcus pneumoniae	1313	species	2114821	1	0	0.0
Streptococcus pyogenes	1314	species	1934284	4	4	0.0
Streptococcus sp. 'group B'	1319	species	2178064	1	0	0.0
Streptococcus anginosus	1328	species	2089210	3	2	0.0
Streptococcus dysgalactiae	1334	species	2134563	2	0	0.0
Streptococcus equinus	1335	species	2311351	2	1	0.0
Streptococcus intermedius	1338	species	1963517	1	1	0.0
Enterococcus faecalis	1351	species	3016110	3	1	0.0
Enterococcus faecium	1352	species	2979896	18	2	0.0
Enterococcus hirae	1354	species	2856440	2	2	0.0
Lactococcus lactis	1358	species	2728319	1	0	0.0
Bacillales	1385	order	4709187	1	0	0.0
Bacillus	1386	genus	5427446	3	1	0.0
Bacillus amyloliquefaciens	1390	species	3989737	3	0	0.0
Bacillus anthracis	1392	species	5891621	3	0	0.0
Bacillus cereus	1396	species	6217228	29	4	0.0
Bacillus coagulans	1398	species	3330766	3	0	0.0
Bacillus licheniformis	1402	species	8445242	3	2	0.0
Bacillus megaterium	1404	species	5334474	2	2	0.0
Bacillus mycoides	1405	species	11312355	9	3	0.0
Paenibacillus polymyxa	1406	species	5942566	11	3	0.0
Bacillus pumilus	1408	species	3704641	16	3	0.0
Bacillus sp.	1409	species	4233615	1	0	0.0
Lysinibacillus sphaericus	1421	species	4817463	10	7	0.0
Bacillus subtilis	1423	species	5400405	10	0	0.0
Parageobacillus thermoglucosidans	1426	species	3993793	4	0	0.0
Bacillus thuringiensis	1428	species	6822475	15	4	0.0
Bacillus atrophaeus	1452	species	4168266	2	0	0.0
Paenibacillus larvae subsp. pulvifaciens	1477	subspecies	8964909	4	0	0.0
Bacillus simplex	1478	species	5521719	4	3	0.0
Bacillus smithii	1479	species	3381292	2	2	0.0
Virgibacillus halodenitrificans	1482	species	3917759	1	0	0.0
Clostridium	1485	genus	4594375	2	0	0.0
Clostridium botulinum	1491	species	4185437	26	11	0.0
Clostridium butyricum	1492	species	22946883	16	2	0.0
Clostridioides difficile	1496	species	4744422	23	2	0.0
Clostridium formicaceticum	1497	species	4586755	3	3	0.0
Clostridium pasteurianum	1501	species	9050473	3	0	0.0
Clostridium perfringens	1502	species	3100837	6	2	0.0
Clostridium sporogenes	1509	species	8284974	8	0	0.0
Clostridium tyrobutyricum	1519	species	6208479	2	0	0.0
Clostridium beijerinckii	1520	species	6062187	11	3	0.0
Moorella thermoacetica	1525	species	2628784	10	0	0.0
Clostridium kluyveri	1534	species	3989551	3	2	0.0
Clostridium scatologenes	1548	species	5749410	11	8	0.0
Clostridium estertheticum subsp. estertheticum	1552	subspecies	4785613	4	3	0.0
Clostridium baratii	1561	species	3338630	7	6	0.0
Desulfotomaculum nigrificans	1565	species	2892255	1	0	0.0
Leifsonia xyli	1575	species	2635288	2	1	0.0
Lactobacillus casei	1582	species	3039836	2	0	0.0
Lactobacillus delbrueckii	1584	species	2539646	1	1	0.0
Lactobacillus helveticus	1587	species	2095920	2	1	0.0
Lactobacillus plantarum	1590	species	3300682	3	0	0.0
Lactobacillus paracasei	1597	species	3007940	4	0	0.0
Lactobacillus amylovorus	1604	species	1977087	2	0	0.0
Lactobacillus fermentum	1613	species	2148561	1	0	0.0
Lactobacillus salivarius	1624	species	2082826	3	2	0.0
Listeria ivanovii	1638	species	3701623	2	0	0.0
Listeria monocytogenes	1639	species	3038659	4	1	0.0
Bifidobacterium longum subsp. longum	1679	subspecies	7220280	2	0	0.0
Bifidobacterium adolescentis	1680	species	2089645	1	0	0.0
Bifidobacterium bifidum	1681	species	2209060	2	0	0.0
Bifidobacterium angulatum	1683	species	2021974	1	0	0.0
Bifidobacterium breve	1685	species	2317134	3	1	0.0
Bifidobacterium coryneforme	1687	species	1755151	1	0	0.0
Brevibacterium linens	1703	species	8072179	1	1	0.0
Corynebacterium diphtheriae	1717	species	2469401	1	0	0.0
Corynebacterium glutamicum	1718	species	3768251	1	0	0.0
Eubacterium	1730	genus	3574048	1	0	0.0
Eubacterium limosum	1736	species	4316707	3	2	0.0
Cutibacterium acnes	1747	species	2515790	1	0	0.0
Acidipropionibacterium acidipropionici	1748	species	3656170	1	0	0.0
Actinobacteria	1760	class	4582488	2	0	0.0
Mycobacterium	1763	genus	5871459	1	1	0.0
Mycobacterium intracellulare	1767	species	5374059	1	0	0.0
Mycobacterium avium subsp. paratuberculosis	1770	subspecies	14396848	3	0	0.0
Mycobacterium phlei	1771	species	5349645	2	2	0.0
Mycobacterium smegmatis	1772	species	20964686	3	2	0.0
Mycobacterium tuberculosis	1773	species	5191731	3	3	0.0
Mycobacterium gilvum	1804	species	5883060	1	0	0.0
Nocardia	1817	genus	7567967	1	0	0.0
Rhodococcus erythropolis	1833	species	6691155	3	0	0.0
Streptomyces	1883	genus	9489906	3	0	0.0
Streptomyces albus	1888	species	6841649	2	0	0.0
Streptomyces ambofaciens	1889	species	8393598	1	0	0.0
Streptomyces clavuligerus	1901	species	7590758	2	2	0.0
Streptomyces hygroscopicus	1912	species	10333189	4	1	0.0
Streptomyces lincolnensis	1915	species	10319054	1	1	0.0
Streptomyces reticuli	1926	species	9336224	1	1	0.0
Aeromicrobium erythreum	2041	species	3629239	1	0	0.0
Gordonia terrae	2055	species	5701501	3	2	0.0
Kitasatospora setae	2066	species	8783278	1	0	0.0
Pseudonocardiaceae	2070	family	9456940	2	0	0.0
Mycoplasmataceae	2092	family	1006095	1	0	0.0
Mycoplasma	2093	genus	1020345	1	0	0.0
Mycoplasma capricolum	2095	species	1777990	1	0	0.0
Mycoplasma hominis	2098	species	690305	1	1	0.0
Mycoplasma hyopneumoniae	2099	species	909234	2	2	0.0
Mycoplasma hyorhinis	2100	species	836229	4	1	0.0
Mycoplasma mycoides subsp. mycoides	2103	subspecies	8039092	2	1	0.0
Mycoplasma agalactiae	2110	species	877438	1	0	0.0
Mycoplasma californicum	2113	species	799088	1	1	0.0
Spiroplasmataceae	2131	family	1281839	1	0	0.0
Spiroplasma citri	2133	species	1640878	1	1	0.0
Methanobacterium formicicum	2162	species	7422571	1	1	0.0
Sulfolobus solfataricus	2287	species	2830609	3	3	0.0
Thermoanaerobacter kivui	2325	species	2397824	2	0	0.0
Fervidobacterium islandicum	2423	species	2237377	2	1	0.0
Ascomycota	4890	phylum	24221269	1	0	0.0
Saccharomycetes	4891	class	12670544	1	0	0.0
Saccharomycetales	4892	order	12670544	2	0	0.0
Saccharomycetaceae	4893	family	10328564	3	0	0.0
Kluyveromyces marxianus	4911	species	10966467	47	12	0.0
Saccharomyces cerevisiae	4932	species	12071326	18	1	0.0
Saccharomycopsis	4943	genus	0	2	0	0.0
Saccharomycopsis fibuligera	4944	species	19567216	25	18	0.0
Yarrowia lipolytica	4952	species	20090583	12	1	0.0
Ustilaginaceae	5268	family	0	2	0	0.0
Dactylococcopsis salina PCC 8305	13035	leaf	3781008	3	2	0.0
Verticillium dahliae	27337	species	36062078	1	0	0.0
Staphylococcus lugdunensis	28035	species	2627127	6	2	0.0
Streptococcus mitis	28037	species	2146611	3	1	0.0
Lactobacillus curvatus	28038	species	5775917	2	0	0.0
Micromonosporaceae	28056	family	7146176	1	0	0.0
Nostoc sp. PCC 7524	28072	species	6718869	1	1	0.0
Neisseria weaveri	28091	species	2188497	2	1	0.0
Burkholderia gladioli	28095	species	9052299	1	1	0.0
Sinorhizobium	28105	genus	6953179	1	0	0.0
Francisella philomiragia	28110	species	2033555	8	4	0.0
Tannerella forsythia	28112	species	3383154	15	0	0.0
Bacteroides ovatus	28116	species	6475296	213	1	5.55383e-13
Prevotella intermedia	28131	species	2686803	36	5	0.0
Cronobacter sakazakii	28141	species	4439412	3	0	0.0
Vibrio nigripulchritudo	28173	species	6322155	1	1	0.0
Alphaproteobacteria	28211	class	3721642	4	0	0.0
Betaproteobacteria	28216	class	5328760	1	0	0.0
Deltaproteobacteria	28221	class	4979291	1	0	0.0
Ornithobacterium rhinotracheale	28251	species	2398521	27	0	0.0
Clavibacter michiganensis	28447	species	3302478	1	0	0.0
Burkholderia pseudomallei	28450	species	7728704	8	0	0.0
Leptospira alstonii	28452	species	4591888	1	1	0.0
Euryarchaeota	28890	phylum	2883543	1	0	0.0
Salmonella enterica	28901	species	6680536	5	2	0.0
Sclerotiniaceae	28983	family	42630066	2	0	0.0
Kluyveromyces lactis	28985	species	10689156	15	9	0.0
Natronococcus occultus	29288	species	4314118	1	0	0.0
Clostridium argentinense	29341	species	4803058	6	3	0.0
[Clostridium] cellulosi	29343	species	2229578	2	1	0.0
Staphylococcus saprophyticus	29385	species	2577899	2	0	0.0
Rhizobium etli	29449	species	6923371	1	0	0.0
Veillonella parvula	29466	species	2132142	2	0	0.0
Pectobacterium atrosepticum	29471	species	5064019	1	0	0.0
Yersinia rohdei	29485	species	4372253	3	3	0.0
Yersinia ruckeri	29486	species	7304941	1	1	0.0
Borreliella garinii	29519	species	933029	1	0	0.0
Pelobacter acetylenicus	29542	species	3206049	3	3	0.0
Mycoplasma canadense	29554	species	693241	2	1	0.0
Mycoplasma canis	29555	species	897443	2	0	0.0
Propionibacteriaceae	31957	family	2829393	2	0	0.0
Amycolatopsis orientalis	31958	species	8982090	1	1	0.0
Clavibacter michiganensis subsp. sepedonicus	31964	subspecies	3403786	4	2	0.0
Achromobacter denitrificans	32002	species	6226215	2	0	0.0
Burkholderia	32008	genus	7695944	2	0	0.0
Campylobacter jejuni subsp. jejuni	32022	subspecies	25552916	1	1	0.0
Synechococcus sp. PCC 7002	32049	species	3409935	2	0	0.0
Synechococcus sp. WH 7803	32051	species	2366980	1	0	0.0
Clavibacter michiganensis subsp. insidiosus	33014	subspecies	3408062	1	0	0.0
Parvimonas micra	33033	species	1627009	2	1	0.0
Sphingopyxis macrogoltabida	33050	species	16800329	3	1	0.0
Geobacillus thermodenitrificans	33940	species	3608012	1	0	0.0
Geobacillus thermoleovorans	33941	species	3596620	1	0	0.0
Lactobacillus johnsonii	33959	species	1907846	1	0	0.0
Rickettsia amblyommatis	33989	species	1480884	1	0	0.0
Rickettsia rhipicephali	33992	species	1305467	4	0	0.0
Riemerella anatipestifer	34085	species	2563329	5	2	0.0
Blattabacterium	34098	genus	625324	1	0	0.0
Acholeplasma oculi	35623	species	1587120	2	1	0.0
Citrobacter amalonaticus	35703	species	5875351	4	3	0.0
Chaetomiaceae	35718	family	37828236	1	0	0.0
Corynebacterium kutscheri	35755	species	2354065	2	1	0.0
Bordetella holmesii	35814	species	3698615	1	0	0.0
Clostridium saccharoperbutylacetonicum	36745	species	6666445	11	0	0.0
Microbacterium aurum	36805	species	3424892	4	3	0.0
Mycobacterium abscessus	36809	species	7033472	4	2	0.0
Wigglesworthia glossinidia endosymbiont of Glossina brevipalpis	36870	leaf	703004	1	1	0.0
Paraburkholderia xenovorans	36873	species	19434089	1	0	0.0
Nocardia farcinica	37329	species	6292344	2	1	0.0
Nocardia seriolae	37332	species	8304518	4	2	0.0
Helicobacter bilis	37372	species	2620399	4	4	0.0
Rhodococcus opacus	37919	species	9001985	1	0	0.0
Bartonella henselae	38323	species	1931047	6	0	0.0
Ureaplasma parvum serovar 3	38504	leaf	727289	2	1	0.0
Mesorhizobium ciceri	39645	species	6785241	1	0	0.0
Dialister pneumosintes	39950	species	1274073	3	0	0.0
Erythrobacter litoralis	39960	species	3052398	2	1	0.0
Streptococcus equi subsp. zooepidemicus	40041	subspecies	2149868	1	1	0.0
Acinetobacter junii	40215	species	3378307	2	2	0.0
Stenotrophomonas	40323	genus	4684682	1	0	0.0
Stenotrophomonas maltophilia	40324	species	4684682	6	2	0.0
Mycoplasma mycoides subsp. capri	40477	subspecies	1085764	5	0	0.0
Xenorhabdus bovienii	40576	species	4225498	1	0	0.0
Mammalia	40674	class	0	1	0	0.0
Bradyrhizobiaceae	41294	family	6674145	1	0	0.0
Rhodospirillaceae	41295	family	4587671	1	0	0.0
Sphingomonadaceae	41297	family	3745097	1	0	0.0
Cyanothece sp. PCC 8801	41431	species	4787694	1	0	0.0
Salmonella enterica subsp. arizonae serovar 62:z4,z23:-	41514	leaf	4600800	2	0	0.0
Burkholderia plantarii	41899	species	8081051	2	0	0.0
Streptomyces sampsonii	42239	species	7070328	3	1	0.0
Nitrospira moscoviensis	42253	species	4589485	1	1	0.0
Candida dubliniensis	42374	species	14618422	1	0	0.0
Ictidomys tridecemlineatus	43179	species	2478393770	1690	1215	0.0
Pseudomonas alcaligenes	43263	species	4406305	1	1	0.0
Pseudoalteromonas luteoviolacea	43657	species	18666577	3	0	0.0
Rothia mucilaginosa	43675	species	2264603	1	1	0.0
Cyanothece sp. ATCC 51142	43989	species	5460377	4	3	0.0
Leptospira interrogans serovar Copenhageni	44275	leaf	4630574	1	0	0.0
Mycobacterium avium subsp. avium	44454	subspecies	5011264	1	0	0.0
Nitrosomonas ureae	44577	species	3307820	2	2	0.0
Desulfovibrio fairfieldensis	44742	species	3699310	5	5	0.0
Natronobacterium gregoryi	44930	species	3788356	1	0	0.0
Capnocytophaga haemolytica	45243	species	2688484	3	2	0.0
Psychrobacter urativorans	45610	species	2931580	3	3	0.0
Anabaena sp. 90	46234	species	5305675	2	1	0.0
Thermosipho melanesiensis	46541	species	1915238	1	0	0.0
Lactobacillus rhamnosus	47715	species	3576576	4	1	0.0
Streptomyces lydicus	47763	species	16444536	4	1	0.0
Pseudomonas oryzihabitans	47885	species	4834356	1	1	0.0
Serratia fonticola	47917	species	12326310	5	2	0.0
Acinetobacter pittii	48296	species	3862530	9	1	0.0
Xanthomonas fragariae	48664	species	8565300	2	0	0.0
Sporisorium scitamineum	49012	species	20067589	16	6	0.0
Flavobacteriaceae	49546	family	3418156	4	0	0.0
Pediococcus damnosus	51663	species	11570178	1	1	0.0
Aerococcus urinaeequi	51665	species	4067667	3	0	0.0
Tetragenococcus halophilus	51669	species	2562720	5	2	0.0
Prevotella dentalis	52227	species	3350206	1	0	0.0
Pseudoalteromonas	53246	genus	4394956	1	1	0.0
Enterococcus durans	53345	species	6143683	1	0	0.0
Pseudomonas citronellolis	53408	species	14631203	8	3	0.0
Lactobacillus lindneri	53444	species	2842174	3	0	0.0
Pseudomonas amygdali pv. lachrymans	53707	leaf	6009235	1	0	0.0
Raoultella ornithinolytica	54291	species	5398151	5	1	0.0
Streptomyces venezuelae	54571	species	26469547	8	2	0.0
Sciuridae	55153	family	0	1	0	0.0
Janthinobacterium agaricidamnosum	55508	species	5949001	1	0	0.0
Vibrio anguillarum	55601	species	4084966	4	0	0.0
Thermococcus barophilus	55802	species	2064237	1	0	0.0
Xanthomonas vesicatoria	56460	species	5349905	3	0	0.0
Rhizobium gallicum	56730	species	7311190	1	0	0.0
Syntrophus aciditrophicus SB	56780	leaf	3179300	2	0	0.0
Thermus brockianus	56956	species	2388273	1	1	0.0
Citrobacter braakii	57706	species	5244065	1	1	0.0
Salmonella enterica subsp. enterica serovar Weltevreden	57743	leaf	20446954	8	0	0.0
Burkholderia thailandensis	57975	species	6739614	1	1	0.0
Salmonella enterica subsp. diarizonae	59204	subspecies	14518198	6	0	0.0
Fibrobacter succinogenes subsp. succinogenes S85	59374	leaf	7685639	12	0	0.0
Paenibacillus peoriae	59893	species	6219815	4	0	0.0
Shewanella sp. MR-4	60480	species	4706287	2	0	0.0
Shewanella sp. MR-7	60481	species	4799109	1	0	0.0
Lactobacillus paraplantarum	60520	species	3139729	2	0	0.0
Burkholderia pyrrocinia	60550	species	7961346	2	0	0.0
Burkholderia vietnamiensis	60552	species	7660783	2	2	0.0
Phaeobacter gallaeciensis	60890	species	4540155	1	1	0.0
Staphylococcus succinus	61015	species	2745675	3	3	0.0
Enterobacter asburiae	61645	species	4787018	2	0	0.0
Pluralibacter gergoviae	61647	species	5489680	3	2	0.0
Kluyvera intermedia	61648	species	6166452	1	0	0.0
Serratia rubidaea	61652	species	4922834	3	2	0.0
Azoarcus sp. BH72	62928	species	4376040	4	0	0.0
Zobellia galactanivorans	63186	species	5521712	4	4	0.0
Xanthomonas oryzae pv. oryzae	64187	leaf	54420371	4	1	0.0
Borreliella	64895	genus	1162446	1	0	0.0
Halothece sp. PCC 7418	65093	species	4179170	1	1	0.0
Cyanothece sp. PCC 7424	65393	species	6554169	2	2	0.0
Citrobacter werkmanii	67827	species	5142338	1	1	0.0
Streptomyces griseochromogenes	68214	species	10764674	1	1	0.0
Mesorhizobium	68287	genus	7011064	1	0	0.0
Cupriavidus basilensis	68895	species	8421483	4	2	0.0
Curtobacterium pusillum	69373	species	4541048	1	1	0.0
Caulobacter henricii	69395	species	3957288	1	1	0.0
Staphylococcus condimenti	70255	species	5360562	8	0	0.0
Pseudomonas plecoglossicida	70775	species	6233254	1	0	0.0
Staphylococcus capitis subsp. capitis	72758	subspecies	2503265	1	1	0.0
Thermaerobacter marianensis	73919	species	2844696	1	0	0.0
Prochlorococcus marinus str. MIT 9312	74546	leaf	1709204	5	3	0.0
Paraburkholderia caribensis	75105	species	9482704	3	1	0.0
Streptomyces autolyticus	75293	species	10184660	3	0	0.0
Thiomonas intermedia K12	75379	leaf	3462095	1	0	0.0
Mannheimia haemolytica	75985	species	2625450	1	0	0.0
Aromatoleum aromaticum EbN1	76114	leaf	4727255	1	0	0.0
Prevotella enoeca	76123	species	2861432	29	21	0.0
Roseateles depolymerans	76731	species	5681722	1	0	0.0
Malassezia sympodialis	76777	species	7786082	11	0	0.0
Myroides odoratimimus	76832	species	4457748	4	0	0.0
Solibacillus silvestris	76853	species	3984229	2	1	0.0
Fusobacterium nucleatum subsp. nucleatum	76856	subspecies	2290405	3	1	0.0
Fusobacterium nucleatum subsp. polymorphum	76857	subspecies	5077430	3	2	0.0
Fusobacterium nucleatum subsp. animalis	76859	subspecies	4860157	3	0	0.0
Pseudomonas putida GB-1	76869	leaf	6078430	1	0	0.0
Helicobacter typhlonius	76936	species	1920832	1	1	0.0
Pectobacterium carotovorum subsp. odoriferum	78398	subspecies	4933575	2	1	0.0
Denitrobacterium detoxificans	79604	species	2446250	2	2	0.0
Bacillus clausii	79880	species	4303871	1	1	0.0
Bacillus gibsonii	79881	species	4100094	1	0	0.0
Methanothermobacter marburgensis str. Marburg	79929	leaf	1639135	1	0	0.0
Burkholderiales	80840	order	6445975	1	0	0.0
Aliivibrio wodanis	80852	species	4635126	1	1	0.0
Moritella viscosa	80854	species	5093989	4	2	0.0
Pragia fontium	82985	species	4094629	1	1	0.0
Serratia plymuthica	82996	species	5447150	4	2	0.0
Mycobacterium immunogenum	83262	species	11178626	4	0	0.0
Aminobacter aminovorans	83263	species	6890726	2	2	0.0
Mycobacterium tuberculosis H37Rv	83332	leaf	13219360	1	0	0.0
gamma proteobacterium HdN1	83406	species	4587455	1	1	0.0
Chlamydia pneumoniae	83558	species	1233133	1	1	0.0
Stenotrophomonas nitritireducens	83617	species	4541729	3	2	0.0
Leclercia adecarboxylata	83655	species	4803917	1	0	0.0
Lactobacillus delbrueckii subsp. delbrueckii	83684	subspecies	1910506	1	0	0.0
Methanoculleus bourgensis	83986	species	2789774	1	0	0.0
Clostridium aceticum	84022	species	4207037	3	3	0.0
Microbacterium chocolatum	84292	species	3168630	1	1	0.0
Lysobacter antibioticus	84531	species	11681564	4	2	0.0
Sphingobacteriaceae	84566	family	5001562	1	0	0.0
Micrococcales	85006	order	3367176	1	0	0.0
Corynebacteriales	85007	order	4657277	4	0	0.0
