readID	seqID	taxID	score	2ndBestScore	hitLength	queryLength	numMatches
contig-125_194	CP012706.1	817	1737730	713837	1772	17876	1
contig-125_182	CP015409.1	239935	56889	0	570	19209	1
contig-125_198	CP000140.1	435591	1634374	0	2555	17602	1
contig-125_184	CP007619.1	357276	514	0	62	19129	1
contig-125_188	AE015928.1	226186	2800557	0	3740	18994	1
contig-125_193	AP006841.1	295405	14968950	1428250	7195	18089	1
contig-125_192	AE015928.1	226186	10871937	0	7364	18261	1
contig-125_204	AP006841.1	295405	5791386	3519545	3770	17335	1
contig-125_205	CP001071.1	349741	30261	0	905	17311	1
contig-125_206	CP012937.1	818	200	100	50	17119	1
contig-125_196	AE015928.1	226186	888685	0	2014	17738	1
contig-125_207	CP011073.1	817	5408615	2705764	4828	16969	1
contig-125_199	CR626927.1	272559	6150285	4492206	5431	17555	1
contig-125_197	CP012937.1	818	168939	0	908	17681	1
contig-125_208	CP015409.1	239935	17492	4572	503	16729	1
contig-125_200	FQ312004.1	862962	3941324	2866194	3546	17532	1
contig-125_195	CR626927.1	272559	3777581	1832290	2751	17853	1
contig-125_202	CR626927.1	272559	1659306	0	2249	17429	1
contig-125_214	CP012937.1	818	1033971	0	2050	16580	1
contig-125_203	CP011073.1	817	8386711	0	5548	17350	1
contig-125_201	FQ312004.1	862962	2221	1588	89	17483	1
contig-125_209	FQ312004.1	862962	11663501	0	6966	16721	1
contig-125_215	AE015928.1	226186	2038543	0	3058	16556	1
contig-125_218	AE015928.1	226186	4121031	0	4602	16521	1
contig-125_216	CP001071.1	349741	166361	0	1309	16536	1
contig-125_220	CP015409.1	239935	18122	14969	218	16414	1
contig-125_212	AP006841.1	295405	9422297	1494205	3843	16661	1
contig-125_210	CP001071.1	349741	9638	256	220	16712	1
contig-125_225	CP012937.1	818	3054719	0	3946	16138	1
contig-125_213	CP011073.1	817	8645846	1151146	4745	16592	1
contig-125_211	CP000140.1	435591	3600	0	75	16673	1
contig-125_224	CP015409.1	239935	8003	256	192	16176	1
contig-125_221	LN877293.1	817	4154109	3373853	3314	16372	1
contig-125_217	FQ312004.1	862962	5981871	2181529	5553	16531	1
contig-125_231	AE015928.1	226186	45796	45796	229	15557	2
contig-125_231	CP012937.1	818	45796	45796	229	15557	2
contig-125_232	CP015409.1	239935	2801	2243	99	15515	1
contig-125_222	CR626927.1	272559	6722777	3687986	4002	16358	1
contig-125_230	FQ312004.1	862962	4124979	3242227	3759	15747	1
contig-125_226	CR626927.1	272559	3904576	0	1991	16022	1
contig-125_235	AP006841.1	295405	1726290	809570	1848	15318	1
contig-125_237	FQ312004.1	862962	5828904	0	3042	15226	1
contig-125_229	CP011073.1	817	3168400	3045281	1795	15920	1
contig-125_219	CP015409.1	239935	16270	15353	390	16512	1
contig-125_223	CR626927.1	272559	229945	0	649	16325	1
contig-125_227	LN877293.1	817	727755	381200	2085	16010	1
contig-125_228	LN877293.1	817	6588250	1085365	3602	15953	1
contig-125_241	CP012937.1	818	1817793	0	2994	15056	1
contig-125_242	CR626927.1	272559	3783025	1984266	1960	14966	1
contig-125_236	AP006841.1	295405	2570960	2152069	2457	15269	1
contig-125_234	CP012937.1	818	4233802	0	4437	15359	1
contig-125_233	AP006841.1	295405	3142004	1010773	3019	15423	1
contig-125_246	CP015409.1	239935	196	81	29	14921	1
contig-125_238	CP012706.1	817	4918438	2444994	3679	15203	1
contig-125_245	AP006841.1	295405	2094535	869633	3086	14933	1
contig-125_240	FQ312004.1	862962	3759924	893342	2851	15105	1
contig-125_239	CP015409.1	239935	147742	0	931	15114	1
contig-125_243	AP006841.1	295405	4999696	0	2251	14958	1
contig-125_253	LN877293.1	817	4541559	1201876	4634	14732	1
contig-125_257	AE015928.1	226186	1212339	0	2518	14673	1
contig-125_256	CP000140.1	435591	2368761	593	8813	14690	1
contig-125_247	CP012937.1	818	1102103	0	2382	14882	1
contig-125_251	CP012937.1	818	929042	0	2213	14812	1
contig-125_254	CP015409.1	239935	2789	1444	126	14729	1
contig-125_248	CP011073.1	817	5477823	0	4199	14880	1
contig-125_244	CP001071.1	349741	13637	8749	808	14947	1
contig-125_250	FQ312004.1	862962	2641586	1046856	3830	14817	1
contig-125_268	JH393455.1	43179	64	0	23	14339	1
contig-125_265	CP011073.1	817	1488010	1458966	1618	14394	1
contig-125_264	CP015409.1	239935	610	64	62	14417	1
contig-125_249	AE015928.1	226186	538147	0	1680	14840	1
contig-125_255	CP012937.1	818	4669142	0	4489	14706	1
contig-125_266	CP001071.1	349741	2741	1989	101	14377	1
contig-125_258	AE015928.1	226186	1771644	0	2895	14621	1
contig-125_260	FQ312004.1	862962	11526025	0	3410	14552	1
contig-125_252	CP015409.1	239935	4164	0	182	14754	1
contig-125_272	AP006841.1	295405	846081	0	1329	14046	1
contig-125_261	CP001071.1	349741	4749	3401	239	14477	1
contig-125_259	CP015409.1	239935	2420	1586	127	14617	1
contig-125_274	AP006841.1	295405	15923922	0	8123	13947	1
contig-125_275	AE015928.1	226186	1789045	0	2924	13927	1
contig-125_262	CP001071.1	349741	9817	1600	243	14474	1
contig-125_277	CP015409.1	239935	2342	1053	121	13749	1
contig-125_263	CP012706.1	817	6489002	0	3282	14438	1
contig-125_267	CR626927.1	272559	3678397	0	2515	14362	1
contig-125_273	LN877293.1	817	3214020	0	2919	13988	1
contig-125_270	AE015924.1	242619	400	400	35	14154	2
contig-125_270	CP012801.1	246787	400	400	35	14154	2
contig-125_282	CP015409.1	239935	16242	14802	570	13554	1
contig-125_269	CP001071.1	349741	13917	1296	285	14252	1
contig-125_271	CP001071.1	349741	26974	5776	376	14141	1
contig-125_286	AP006841.1	295405	1109496	0	1869	13378	1
contig-125_281	FQ312004.1	862962	394916	355216	884	13556	1
contig-125_280	FQ312004.1	862962	2529350	2155458	2791	13589	1
contig-125_285	CP011073.1	817	2571154	585128	2278	13383	1
contig-125_288	CP015409.1	239935	16789	16384	539	13366	1
contig-125_276	CP015409.1	239935	4806	980	147	13790	1
contig-125_278	CP011073.1	817	3720212	2331729	2320	13738	1
contig-125_279	CP002279.1	536019	81	64	24	13733	1
contig-125_283	AP006841.1	295405	17045560	0	8301	13553	1
contig-125_284	AP006841.1	295405	4680349	2224086	3932	13411	1
contig-125_293	LN877293.1	817	12895281	1588562	3606	13212	1
contig-125_287	CP003369.1	908937	196	64	29	13375	1
contig-125_296	CP012706.1	817	1885690	0	1832	13199	1
contig-125_299	FQ312004.1	862962	1923769	1692601	1402	13128	1
contig-125_290	CP011073.1	817	8841955	701640	7367	13278	1
contig-125_294	CP015409.1	239935	5165	1589	123	13202	1
contig-125_298	CP015409.1	239935	11419	7611	418	13135	1
contig-125_302	CR626927.1	272559	3155445	0	2103	13043	1
contig-125_291	CP012706.1	817	4485924	0	2133	13233	1
contig-125_289	CR626927.1	272559	4954982	2206161	5674	13351	1
contig-125_9	CP000140.1	435591	10459399	0	15492	167542	1
contig-125_295	CP007128.1	861299	289	64	32	13201	1
contig-125_308	unclassified	0	0	0	0	12929	1
contig-125_297	FQ312004.1	862962	1300601	369580	1639	13153	1
contig-125_292	CP015172.1	979	100	0	25	13212	1
contig-125_300	FQ312004.1	862962	14995625	4800002	5411	13126	1
contig-125_312	AE015928.1	226186	6711259	0	5188	12769	1
contig-125_309	CP011073.1	817	3345241	1313514	1844	12831	1
contig-125_304	CR626927.1	272559	2661650	1493678	2728	12969	1
contig-125_301	AP006841.1	295405	1278706	1088881	2656	13124	1
contig-125_306	LT629973.1	1679444	64	64	23	12951	2
contig-125_306	CP013690.1	76832	64	64	23	12951	2
contig-125_305	CP001071.1	349741	180370	9890	542	12962	1
contig-125_307	CP012937.1	818	243307	0	1024	12939	1
contig-125_303	CP012937.1	818	2224446	0	3307	13001	1
contig-125_314	AE015928.1	226186	2401259	0	3440	12733	1
contig-125_311	CP001071.1	349741	12468	11157	775	12791	1
contig-125_317	CP009281.1	1536770	64	0	23	12652	1
contig-125_321	AE015928.1	226186	4552695	0	4466	12576	1
contig-125_315	CP001769.1	504472	289	121	32	12726	1
contig-125_316	AE015928.1	226186	731644	0	2613	12713	1
contig-125_320	CP012937.1	818	3726	3557	141	12581	1
contig-125_310	CP011073.1	817	12793574	8685619	4939	12819	1
contig-125_324	AE015928.1	226186	518614	0	1661	12506	1
contig-125_318	FQ312004.1	862962	27273405	8182217	6684	12624	1
contig-125_313	CP001071.1	349741	11865	1849	265	12761	1
contig-125_329	FQ312004.1	862962	4654884	685610	5012	12416	1
contig-125_333	LN877293.1	817	6269538	0	4984	12316	1
contig-125_319	CP001071.1	349741	7465	5868	337	12603	1
contig-125_335	CP015402.1	1834200	289	121	32	12220	1
contig-125_327	CR626927.1	272559	5465290	2199289	4115	12452	1
contig-125_328	LN877293.1	817	3726171	1857769	2886	12428	1
contig-125_337	CR626927.1	272559	2500817	657721	2778	12187	1
contig-125_330	AE015928.1	226186	2353251	0	3444	12407	1
contig-125_322	CP015409.1	239935	12431	5402	348	12559	1
contig-125_325	LN877293.1	817	2769764	2022554	2088	12456	1
contig-125_331	CP001071.1	349741	26184	24223	689	12404	1
contig-125_341	LN877293.1	817	2064477	0	2302	12086	1
contig-125_332	CP011531.1	997877	110163	0	792	12359	1
contig-125_334	AE015928.1	226186	4406854	0	4615	12276	1
contig-125_326	CP001071.1	349741	2861	965	136	12456	1
contig-125_323	CP001071.1	349741	11753	4058	327	12511	1
contig-125_342	CP001071.1	349741	7619	6282	262	12085	1
contig-125_340	CP001071.1	349741	33631	12769	395	12094	1
contig-125_344	CP015409.1	239935	893	676	94	12030	1
contig-125_338	CP011073.1	817	3225514	910809	3833	12174	1
contig-125_346	AP006841.1	295405	1819801	1640961	1364	11920	1
contig-125_339	CP011073.1	817	3572100	1599250	1905	12144	1
contig-125_336	CP001071.1	349741	2786	1997	135	12206	1
contig-125_352	AP006841.1	295405	12305	6084	234	11794	1
contig-125_356	CP002589.1	767031	196	0	29	11741	1
contig-125_343	CP011073.1	817	3930627	1452025	4184	12031	1
contig-125_349	LN877293.1	817	3911699	2644703	2584	11854	1
contig-125_359	LN877293.1	817	5159781	1081600	3870	11605	1
contig-125_351	CP015401.1	1796613	785	484	69	11813	1
contig-125_345	CP012937.1	818	751259	164836	1729	11939	1
contig-125_361	AP006841.1	295405	13515303	0	7464	11585	1
contig-125_347	AE015928.1	226186	3978070	0	4037	11889	1
contig-125_353	FQ312004.1	862962	2211169	1537516	1502	11790	1
contig-125_364	CP001071.1	349741	2143	1369	145	11421	1
contig-125_355	CP002545.1	762903	400	0	35	11771	1
contig-125_348	LN877293.1	817	7921091	2972785	3738	11865	1
contig-125_357	CP012937.1	818	204610	0	945	11642	1
contig-125_365	AE015928.1	226186	5544979	0	5166	11409	1
contig-125_350	CP001071.1	349741	5186	3067	256	11846	1
contig-125_354	CP015409.1	239935	1523	821	110	11789	1
contig-125_360	AE015928.1	226186	542959	0	1714	11594	1
contig-125_368	CP012937.1	818	94898	60322	561	11401	1
contig-125_363	CP015402.1	1834200	593	0	61	11433	1
contig-125_358	CP015409.1	239935	7098	6925	189	11621	1
contig-125_370	CP012937.1	818	56137	49521	365	11384	1
contig-125_362	CP015402.1	1834200	121	81	26	11568	1
contig-125_372	CR626927.1	272559	2091869	0	1953	11340	1
contig-125_375	CP001071.1	349741	5994	3656	171	11139	1
contig-125_369	CP012938.1	28116	207056	207056	586	11387	2
contig-125_369	LT622246.1	1379690	207056	207056	586	11387	2
contig-125_376	FQ312004.1	862962	3238681	0	2366	11058	1
contig-125_366	CP015409.1	239935	6644	0	284	11406	1
contig-125_382	CP001071.1	349741	690	0	89	10978	1
contig-125_378	AE015928.1	226186	2102510	0	3117	10999	1
contig-125_367	CP001071.1	349741	4106	3973	145	11402	1
contig-125_373	AE015928.1	226186	417869	0	1510	11280	1
contig-125_380	CP000140.1	435591	405	400	57	10989	1
contig-125_384	CP001071.1	349741	10178	9564	222	10929	1
contig-125_387	CP015409.1	239935	1326	121	105	10889	1
contig-125_377	AE015928.1	226186	967358	0	2233	11049	1
contig-125_379	CP002877.1	1042878	529	529	38	10995	2
contig-125_379	CP013254.1	446860	529	529	38	10995	2
contig-125_371	AE015928.1	226186	1471201	0	3487	11346	1
contig-125_386	LN877293.1	817	2079364	0	1457	10899	1
contig-125_374	AE015928.1	226186	1092527	0	2356	11208	1
contig-125_383	AE015928.1	226186	3707254	0	3977	10959	1
contig-125_381	CP001071.1	349741	7438	5752	495	10987	1
contig-125_388	LN877293.1	817	3407716	1537609	1861	10874	1
contig-125_392	CP012706.1	817	5351715	4638934	2608	10799	1
contig-125_396	CP012937.1	818	430721	235808	1128	10706	1
contig-125_397	AE015928.1	226186	14064724	0	6395	10683	1
contig-125_385	AP006841.1	295405	1264659	1206665	2085	10927	1
contig-125_389	AE015928.1	226186	65734	0	637	10863	1
contig-125_401	CP012937.1	818	2032883	0	3028	10649	1
contig-125_390	CP015409.1	239935	1613	1010	81	10837	1
contig-125_394	CP015409.1	239935	3041	2993	138	10747	1
contig-125_393	FQ312004.1	862962	2076382	810000	2386	10761	1
contig-125_405	CP015409.1	239935	28410	0	891	10523	1
contig-125_400	CR626927.1	272559	1681825	0	2072	10666	1
contig-125_407	FQ312004.1	862962	6129634	495844	4296	10480	1
contig-125_391	AE015928.1	226186	1830604	0	2875	10808	1
contig-125_404	AE015928.1	226186	3774319	0	4330	10532	1
contig-125_395	CP015409.1	239935	934	225	118	10727	1
contig-125_406	FQ312004.1	862962	3031092	0	2040	10495	1
contig-125_399	AE015928.1	226186	15076834	0	5437	10673	1
contig-125_412	CP011073.1	817	1119254	901561	1863	10396	1
contig-125_403	CP000140.1	435591	472434	0	1283	10584	1
contig-125_398	AE015928.1	226186	173393	0	978	10681	1
contig-125_410	AE015928.1	226186	1498575	192721	2405	10427	1
contig-125_402	CP011073.1	817	1860496	1500625	1379	10624	1
contig-125_408	LN877293.1	817	877109	644686	1323	10464	1
contig-125_418	AE015928.1	226186	2416823	0	3312	10310	1
contig-125_416	LN877293.1	817	2202580	0	1532	10324	1
contig-125_409	AP006841.1	295405	4375370	1428025	2908	10440	1
contig-125_411	CP012937.1	818	2040161	0	3202	10419	1
contig-125_414	AE015928.1	226186	2058892	0	3117	10359	1
contig-125_413	AE015928.1	226186	374755	0	1434	10371	1
contig-125_420	CP001071.1	349741	20067	16076	1060	10262	1
contig-125_424	CP001071.1	349741	7346	6766	260	10146	1
contig-125_419	CP015402.1	1834200	10681	400	224	10278	1
contig-125_427	AE015928.1	226186	1608470	0	2629	10112	1
contig-125_428	CP001071.1	349741	689	121	88	10095	1
contig-125_421	AE015928.1	226186	1265599	0	2356	10224	1
contig-125_417	CP015409.1	239935	9633	0	357	10311	1
contig-125_425	CP012937.1	818	1276070	0	2527	10141	1
contig-125_430	CP012937.1	818	1323782	0	1650	10053	1
contig-125_415	CP015402.1	1834200	10251	0	282	10331	1
contig-125_422	CP012937.1	818	3345373	0	4042	10220	1
contig-125_429	AE015928.1	226186	453102	427909	2409	10062	1
contig-125_423	CP001071.1	349741	773	313	90	10191	1
contig-125_435	LN877293.1	817	10605571	6191222	6212	10004	1
contig-125_437	CP015409.1	239935	4693	4693	125	9955	2
contig-125_437	CP001071.1	349741	4693	4693	125	9955	2
contig-125_438	CP012937.1	818	6286883	0	5556	9921	1
contig-125_426	AE015928.1	226186	4043002	0	6722	10118	1
contig-125_432	CP004370.1	457425	100	100	25	10046	3
contig-125_432	CP009802.1	206662	100	100	25	10046	3
contig-125_432	CP014485.1	1888	100	100	25	10046	3
contig-125_436	CP001071.1	349741	2989	2205	107	9961	1
contig-125_443	CP001071.1	349741	18425	3721	321	9857	1
contig-125_440	CP015402.1	1834200	484	289	37	9891	1
contig-125_431	CP015409.1	239935	10539	6827	553	10048	1
contig-125_433	CP012937.1	818	2263211	614681	2528	10025	1
contig-125_448	CP012937.1	818	3678273	0	4088	9725	1
contig-125_449	FQ312004.1	862962	1733927	0	2708	9725	1
contig-125_439	CP016090.1	1520	81	81	24	9902	5
contig-125_439	CP006777.1	864803	81	81	24	9902	5
contig-125_439	CP000721.1	290402	81	81	24	9902	5
