"","act.cog","ID"
"44","COG1653","ABC-type sugar transport system, periplasmic component"
"45","COG1662","Transposase and inactivated derivatives, IS1 family"
"46","COG1682","ABC-type polysaccharide/polyol phosphate export systems, permease component"
"47","COG1686","D-alanyl-D-alanine carboxypeptidase"
"48","COG1874","Beta-galactosidase"
"49","COG1882","Pyruvate-formate lyase"
"50","COG1918","Fe2+ transport system protein A"
"51","COG1925","Phosphotransferase system, HPr-related proteins"
"52","COG1959","Predicted transcriptional regulator"
"53","COG2002","Regulators of stationary/sporulation gene expression"
"54","COG2081","Predicted flavoproteins"
"55","COG2176","DNA polymerase III, alpha subunit (gram-positive type)"
"56","COG2182","Maltose-binding periplasmic proteins/domains"
"57","COG2190","Phosphotransferase system IIA components"
"58","COG2199","FOG: GGDEF domain"
"59","COG2200","FOG: EAL domain"
"60","COG2207","AraC-type DNA-binding domain-containing proteins"
"61","COG2252","Permeases"
"62","COG2333","Predicted hydrolase (metallo-beta-lactamase superfamily)"
"63","COG2357","Uncharacterized protein conserved in bacteria"
"64","COG2407","L-fucose isomerase and related proteins"
"65","COG2508","Regulator of polyketide synthase expression"
"66","COG2730","Endoglucanase"
"67","COG2816","NTP pyrophosphohydrolases containing a Zn-finger, probably nucleic-acid-binding"
"68","COG2972","Predicted signal transduction protein with a C-terminal ATPase domain"
"69","COG3044","Predicted ATPase of the ABC class"
"70","COG3153","Predicted acetyltransferase"
"71","COG3279","Response regulator of the LytR/AlgR family"
"72","COG3331","Penicillin-binding protein-related factor A, putative recombinase"
"73","COG3345","Alpha-galactosidase"
"74","COG3437","Response regulator containing a CheY-like receiver domain and an HD-GYP domain"
"75","COG3459","Cellobiose phosphorylase"
"76","COG3464","Transposase and inactivated derivatives"
"77","COG3481","Predicted HD-superfamily hydrolase"
"78","COG3507","Beta-xylosidase"
"79","COG3534","Alpha-L-arabinofuranosidase"
"80","COG3635","Predicted phosphoglycerate mutase, AP superfamily"
"81","COG3664","Beta-xylosidase"
"82","COG3693","Beta-1,4-xylanase"
"83","COG3757","Lyzozyme M1 (1,4-beta-N-acetylmuramidase)"
"84","COG3833","ABC-type maltose transport systems, permease component"
"85","COG3835","Sugar diacid utilization regulator"
"86","COG3839","ABC-type sugar transport systems, ATPase components"
"87","COG3857","ATP-dependent nuclease, subunit B"
"88","COG3887","Predicted signaling protein consisting of a modified GGDEF domain and a DHH domain"
"89","COG3894","Uncharacterized metal-binding protein"
"90","COG3940","Predicted beta-xylosidase"
"91","COG3958","Transketolase, C-terminal subunit"
"92","COG3959","Transketolase, N-terminal subunit"
"93","COG3981","Predicted acetyltransferase"
"94","COG4166","ABC-type oligopeptide transport system, periplasmic component"
"95","COG4189","Predicted transcriptional regulator"
"96","COG4209","ABC-type polysaccharide transport system, permease component"
"97","COG4284","UDP-glucose pyrophosphorylase"
"98","COG4465","Pleiotropic transcriptional repressor"
"99","COG4468","Galactose-1-phosphate uridyltransferase"
"100","COG4485","Predicted membrane protein"
"101","COG4509","Uncharacterized protein conserved in bacteria"
"102","COG4626","Phage terminase-like protein, large subunit"
"103","COG4709","Predicted membrane protein"
"104","COG4753","Response regulator containing CheY-like receiver domain and AraC-type DNA-binding domain"
"105","COG4805","Uncharacterized protein conserved in bacteria"
"106","COG4870","Cysteine protease"
"107","COG4962","Flp pilus assembly protein, ATPase CpaF"
"108","COG5023","Tubulin"
"109","COG5412","Phage-related protein"
"110","COG5578","Predicted integral membrane protein"
